defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,627.043087
1,1,3,1,593.5992411
1,1,4,1,590.6576762
1,1,5,1,530.1178331
1,1,1,2,317.2648529
1,1,2,2,362.0601914
1,1,3,2,443.6479963
1,1,4,2,445.3119108
1,1,5,2,419.0498603
1,1,1,3,321.9806969
1,1,2,3,346.5247453
1,1,3,3,395.7656667
1,1,4,3,396.7602254
1,1,5,3,381.2419412
1,1,1,4,326.3462224
1,1,2,4,341.8269767
1,1,3,4,373.1076417
1,1,4,4,373.649905
1,1,5,4,361.9139303
1,1,1,5,329.8394087
1,1,2,5,339.8867849
1,1,3,5,359.8078122
1,1,4,5,360.0561694
1,1,5,5,349.937727
1,1,1,6,332.6131558
1,1,2,6,338.825197
1,1,3,6,350.2078366
1,1,4,6,350.3141461
1,1,5,6,341.4922924
1,1,1,7,335.0755274
1,1,2,7,337.9400851
1,1,3,7,341.2311911
1,1,4,7,341.423708
1,1,5,7,334.6775411
1,1,1,8,337.9897775
1,1,2,8,336.8418413
1,1,3,8,330.0479497
1,1,4,8,330.7846347
1,1,5,8,328.5199063
1,1,1,9,346.5483016
1,1,2,9,336.6302639
1,1,3,9,315.0361434
1,1,4,9,317.1015093
1,1,5,9,326.5242366
1,1,1,10,401.6147143
1,1,2,10,345.8756653
1,1,3,10,304.8838233
1,1,4,10,307.967799
1,1,5,10,370.3372748
2,1,3,1,712.3370306
2,1,4,1,708.0303867
2,1,5,1,597.022901
2,1,1,2,273.0956532
2,1,2,2,260.0666235
2,1,3,2,330.494254
2,1,4,2,335.2992258
2,1,5,2,329.6761887
2,1,1,3,269.881342
2,1,2,3,269.5539246
2,1,3,3,302.1841982
2,1,4,3,304.295193
2,1,5,3,298.7916008
2,1,1,4,271.1207233
2,1,2,4,276.2368544
2,1,3,4,294.2297109
2,1,4,4,295.0770906
2,1,5,4,287.9005482
2,1,1,5,272.7444135
2,1,2,5,280.3146177
2,1,3,5,290.0634764
2,1,4,5,290.358847
2,1,5,5,282.3918643
2,1,1,6,274.4766695
2,1,2,6,282.7714566
2,1,3,6,286.254791
2,1,4,6,286.3582407
2,1,5,6,278.7196217
2,1,1,7,276.5116899
2,1,2,7,284.1532313
2,1,3,7,281.3600198
2,1,4,7,281.5748767
2,1,5,7,275.6141847
2,1,1,8,279.6175576
2,1,2,8,284.6648049
2,1,3,8,273.6156879
2,1,4,8,274.4093854
2,1,5,8,272.559804
2,1,1,9,289.1345368
