defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,17664.748
1,1,3,1,17683.70527
1,1,4,1,17682.12124
1,1,5,1,17568.61129
1,1,1,2,17515.84408
1,1,2,2,17524.81666
1,1,3,2,17527.43815
1,1,4,2,17527.38479
1,1,5,2,17520.91059
1,1,1,3,17518.51724
1,1,2,3,17528.15508
1,1,3,3,17530.15604
1,1,4,3,17530.01559
1,1,5,3,17520.74988
1,1,1,4,17518.85507
1,1,2,4,17527.69902
1,1,3,4,17529.65806
1,1,4,4,17529.52153
1,1,5,4,17520.3699
1,1,1,5,17519.05445
1,1,2,5,17527.69818
1,1,3,5,17529.63631
1,1,4,5,17529.49819
1,1,5,5,17520.24886
1,1,1,6,17519.22388
1,1,2,6,17527.68853
1,1,3,6,17529.60219
1,1,4,6,17529.46314
1,1,5,6,17520.2249
1,1,1,7,17519.45232
1,1,2,7,17527.62086
1,1,3,7,17529.50656
1,1,4,7,17529.36833
1,1,5,7,17520.34172
1,1,1,8,17519.81823
1,1,2,8,17527.02389
1,1,3,8,17528.79014
1,1,4,8,17528.66375
1,1,5,8,17520.78921
1,1,1,9,17496.37604
1,1,2,9,17535.96481
1,1,3,9,17561.62466
1,1,4,9,17561.37624
1,1,5,9,17499.20416
1,1,1,10,17413.6928
1,1,2,10,17514.597
1,1,3,10,17531.2662
1,1,4,10,17529.79456
1,1,5,10,17424.53607
2,1,3,1,17793.76524
2,1,4,1,17792.22062
2,1,5,1,17677.38433
2,1,1,2,17613.48948
2,1,2,2,17618.50473
2,1,3,2,17621.12051
2,1,4,2,17621.1068
2,1,5,2,17616.4036
2,1,1,3,17620.15513
2,1,2,3,17628.80619
2,1,3,3,17631.49511
2,1,4,3,17631.35371
2,1,5,3,17621.31377
2,1,1,4,17619.64767
2,1,2,4,17627.76444
2,1,3,4,17629.74827
2,1,4,4,17629.61292
2,1,5,4,17620.5159
2,1,1,5,17619.60273
2,1,2,5,17627.91688
2,1,3,5,17629.82976
2,1,4,5,17629.69003
2,1,5,5,17620.39863
2,1,1,6,17619.63653
2,1,2,6,17627.92816
2,1,3,6,17629.81724
2,1,4,6,17629.67682
2,1,5,6,17620.39395
2,1,1,7,17619.79131
2,1,2,7,17627.8631
2,1,3,7,17629.73195
2,1,4,7,17629.59281
2,1,5,7,17620.53057
2,1,1,8,17620.11716
2,1,2,8,17627.26462
2,1,3,8,17629.02085
2,1,4,8,17628.89393
2,1,5,8,17620.99247
2,1,1,9,17596.73029
2,1,2,9,17636.20296
2,1,3,9,17661.87071
2,1,4,9,17661.62208
2,1,5,9,17599.4776
2,1,1,10,17514.597
2,1,2,10,17615.44854
2,1,3,10,17632.11494
2,1,4,10,17630.64312
2,1,5,10,17525.35201
3,1,4,1,17809.69051
3,1,5,1,17695.49848
