defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
5,1,4,3,96.03097269
5,1,5,3,97.50394308
5,1,1,4,110.5717985
5,1,2,4,100.9369554
5,1,3,4,94.81333436
5,1,4,4,95.59489364
5,1,5,4,98.19212836
5,1,1,5,108.3149476
5,1,2,5,100.5775431
5,1,3,5,94.77178412
5,1,4,5,95.37956635
5,1,5,5,99.40591801
5,1,1,6,108.4378054
5,1,2,6,100.4702276
5,1,3,6,94.74838069
5,1,4,6,95.2690734
5,1,5,6,101.4319875
5,1,1,7,110.793642
5,1,2,7,100.601425
5,1,3,7,94.73297254
5,1,4,7,95.21413618
5,1,5,7,104.8681291
5,1,1,8,116.1243941
5,1,2,8,100.9987232
5,1,3,8,94.72269324
5,1,4,8,95.19613004
5,1,5,8,110.8780131
5,1,1,9,127.0771118
5,1,2,9,101.7560844
5,1,3,9,94.71790566
5,1,4,9,95.218666
5,1,5,9,122.5368223
5,1,1,10,154.1917748
5,1,2,10,102.5955496
5,1,3,10,94.71585725
5,1,4,10,95.29347028
5,1,5,10,152.4791033
1,2,2,2,107.1131037
1,2,3,2,69.18851694
1,2,4,2,69.57516605
1,2,5,2,98.12424148
1,2,1,3,72.18872247
1,2,2,3,88.17669782
1,2,3,3,69.04894214
1,2,4,3,69.46538061
1,2,5,3,86.803544
1,2,1,4,73.25034957
1,2,2,4,81.03417142
1,2,3,4,68.97944644
1,2,4,4,69.41528453
1,2,5,4,81.50724462
1,2,1,5,74.77146461
1,2,2,5,77.37448921
1,2,3,5,68.96030919
1,2,4,5,69.39318319
1,2,5,5,79.39491223
1,2,1,6,77.16855932
1,2,2,6,75.45914205
1,2,3,6,68.93349929
1,2,4,6,69.38952543
1,2,5,6,79.51395336
1,2,1,7,80.94829562
1,2,2,7,74.58497891
1,2,3,7,68.92321258
1,2,4,7,69.40404805
1,2,5,7,81.7853085
1,2,1,8,87.33262443
1,2,2,8,74.3662855
1,2,3,8,68.91049733
1,2,4,8,69.44207576
1,2,5,8,86.9787984
1,2,1,9,99.34649534
1,2,2,9,74.72096374
1,2,3,9,68.90444027
1,2,4,9,69.50006529
1,2,5,9,97.96410541
1,2,1,10,128.0587763
1,2,2,10,75.61122928
1,2,3,10,68.90097324
1,2,4,10,69.59337297
1,2,5,10,127.0771125
2,2,3,2,43.73504137
2,2,4,2,43.61845209
2,2,5,2,73.00964562
2,2,1,3,74.66284785
2,2,2,3,43.6040965
2,2,3,3,43.43807028
2,2,4,3,43.55035569
2,2,5,3,61.70610222
2,2,1,4,62.60582376
2,2,2,4,44.01870141
2,2,3,4,43.27999867
2,2,4,4,43.46990467
2,2,5,4,56.42419322
2,2,1,5,57.74756903
2,2,2,5,44.32005101
2,2,3,5,43.18963215
2,2,4,5,43.44395911
2,2,5,5,54.21385406
2,2,1,6,56.74677997
2,2,2,6,44.79519304
2,2,3,6,43.11778013
2,2,4,6,43.44131597
2,2,5,6,54.16266466
2,2,1,7,58.61840434
2,2,2,7,45.40259279
2,2,3,7,43.08342101
2,2,4,7,43.44444207
2,2,5,7,56.30417536
2,2,1,8,63.81350967
2,2,2,8,46.27939002
2,2,3,8,43.05107555
2,2,4,8,43.49160006
2,2,5,8,61.47733575
2,2,1,9,74.72096403
2,2,2,9,47.46131386
2,2,3,9,43.06199286
2,2,4,9,43.57576092
2,2,5,9,72.5246426
2,2,1,10,102.4605673
2,2,2,10,48.92360354
2,2,3,10,43.05716526
2,2,4,10,43.67692132
2,2,5,10,101.7560819
3,2,4,2,47.01201139
3,2,5,2,70.91050407
3,2,1,3,58.179833
3,2,2,3,42.67911498
3,2,3,3,36.27686876
3,2,4,3,37.90712427
3,2,5,3,55.48150804
3,2,1,4,52.86123348
3,2,2,4,42.06934688
3,2,3,4,36.24405714
3,2,4,4,37.29399593
3,2,5,4,49.92699899
3,2,1,5,50.65937577
3,2,2,5,41.78130282
3,2,3,5,36.22324351
3,2,4,5,37.03605239
3,2,5,5,47.65343016
3,2,1,6,50.58661845
3,2,2,6,41.73002925
3,2,3,6,36.25619864
3,2,4,6,36.96795525
3,2,5,6,47.59521482
3,2,1,7,52.79149374
3,2,2,7,41.90168666
3,2,3,7,36.26177785
3,2,4,7,36.92602734
3,2,5,7,49.66165275
3,2,1,8,57.99215623
3,2,2,8,42.36960581
3,2,3,8,36.21313369
3,2,4,8,36.95606588
3,2,5,8,54.76814214
3,2,1,9,68.87915967
3,2,2,9,43.04599851
3,2,3,9,36.2093833
3,2,4,9,36.95860896
3,2,5,9,65.7033484
3,2,1,10,96.06542319
3,2,2,10,43.96901552
3,2,3,10,36.33982043
3,2,4,10,37.04471774
3,2,5,10,94.71790651
