defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,264.6788398
1,1,3,1,197.1087795
1,1,4,1,197.764804
1,1,5,1,260.0242562
1,1,1,2,202.2575085
1,1,2,2,213.1710499
1,1,3,2,196.8627041
1,1,4,2,197.6944458
1,1,5,2,216.2900194
1,1,1,3,201.7521436
1,1,2,3,203.3404291
1,1,3,3,196.518395
1,1,4,3,197.4294092
1,1,5,3,203.3491218
1,1,1,4,202.0288313
1,1,2,4,201.909867
1,1,3,4,196.0124932
1,1,4,4,197.1014813
1,1,5,4,200.5273876
1,1,1,5,202.8771335
1,1,2,5,201.8768527
1,1,3,5,195.6085153
1,1,4,5,196.8117937
1,1,5,5,199.5352335
1,1,1,6,204.379817
1,1,2,6,202.4727237
1,1,3,6,195.3418677
1,1,4,6,196.4628304
1,1,5,6,199.444853
1,1,1,7,206.9545145
1,1,2,7,203.7471453
1,1,3,7,195.1870385
1,1,4,7,196.3568443
1,1,5,7,200.3140728
1,1,1,8,212.1934968
1,1,2,8,206.0840268
1,1,3,8,195.1058419
1,1,4,8,196.4187479
1,1,5,8,203.2725708
1,1,1,9,228.4696524
1,1,2,9,210.4132361
1,1,3,9,195.0632418
1,1,4,9,196.6928229
1,1,5,9,216.4142469
1,1,1,10,272.34368
1,1,2,10,218.2400069
1,1,3,10,195.0361411
1,1,4,10,197.2845235
1,1,5,10,257.3087682
2,1,3,1,148.0034122
2,1,4,1,147.2489863
2,1,5,1,208.7575287
2,1,1,2,168.2054421
2,1,2,2,145.8941045
2,1,3,2,146.8564038
2,1,4,2,147.2700249
2,1,5,2,166.6361659
2,1,1,3,154.8324324
2,1,2,3,146.6643818
2,1,3,3,145.9547511
2,1,4,3,146.6418415
2,1,5,3,152.8688844
2,1,1,4,152.0201854
2,1,2,4,147.4037159
2,1,3,4,145.2019468
2,1,4,4,145.9500627
2,1,5,4,149.5987896
2,1,1,5,151.3911897
2,1,2,5,148.3064942
2,1,3,5,144.6519845
2,1,4,5,145.4691898
2,1,5,5,148.4867119
2,1,1,6,152.0839633
2,1,2,6,149.5073147
2,1,3,6,144.2885112
2,1,4,6,145.2237625
2,1,5,6,148.3551892
2,1,1,7,154.1756296
2,1,2,7,151.223597
2,1,3,7,144.0779372
2,1,4,7,145.1300096
2,1,5,7,149.193371
2,1,1,8,159.0145464
2,1,2,8,153.8816786
2,1,3,8,143.9703849
2,1,4,8,145.1837149
2,1,5,8,152.1772418
2,1,1,9,174.8609641
2,1,2,9,158.457528
2,1,3,9,143.903785
2,1,4,9,145.4300432
2,1,5,9,165.2393095
2,1,1,10,218.2400066
2,1,2,10,166.475353
