defect1_1,defect1_2,defect2_1,defect2_2,total_voltage,,
5,1,3,3,3420.84735,,
5,1,4,3,3420.399859,,
5,1,5,3,3389.193944,,
5,1,1,4,3322.0897,,
5,1,2,4,3409.517055,,
5,1,3,4,3430.176704,,
5,1,4,4,3429.204628,,
5,1,5,4,3352.218976,,
5,1,1,5,3330.797712,,
5,1,2,5,3412.84728,,
5,1,3,5,3430.001054,,
5,1,4,5,3428.810127,,
5,1,5,5,3341.714459,,
5,1,1,6,3332.845628,,
5,1,2,6,3413.565569,,
5,1,3,6,3429.888463,,
5,1,4,6,3428.644884,,
5,1,5,6,3339.609956,,
5,1,1,7,3331.362484,,
5,1,2,7,3414.937743,,
5,1,3,7,3432.134912,,
5,1,4,7,3430.890313,,
5,1,5,7,3339.606449,,
5,1,1,8,3325.376999,,
5,1,2,8,3421.260812,,
5,1,3,8,3443.892817,,
5,1,4,8,3445.4725,,
5,1,5,8,3338.796724,,
5,1,1,9,3305.963337,,
5,1,2,9,3453.920311,,
5,1,3,9,3498.747791,,
5,1,4,9,3518.543418,,
5,1,5,9,3332.241269,,
5,1,1,10,3014.314657,,
5,1,2,10,3100.988074,,
5,1,3,10,3123.249757,,
5,1,4,10,3121.441534,,
5,1,5,10,3020.924437,,
1,2,2,2,4119.580368,,
1,2,3,2,4121.938081,,
1,2,4,2,4090.322457,,
1,2,5,2,3899.496458,,
1,2,1,3,3593.182838,,
1,2,2,3,3642.163814,,
1,2,3,3,3654.657374,,
1,2,4,3,3654.179768,,
1,2,5,3,3607.246764,,
1,2,1,4,3687.040889,,
1,2,2,4,3702.842985,,
1,2,3,4,3702.843823,,
1,2,4,4,3701.007419,,
1,2,5,4,3602.72772,,
1,2,1,5,3645.345242,,
1,2,2,5,3710.258893,,
1,2,3,5,3720.186861,,
1,2,4,5,3718.646391,,
1,2,5,5,3622.469754,,
1,2,1,6,3632.218207,,
1,2,2,6,3709.483595,,
1,2,3,6,3724.032065,,
1,2,4,6,3722.693708,,
1,2,5,6,3631.130983,,
1,2,1,7,3627.343288,,
1,2,2,7,3710.261264,,
1,2,3,7,3727.075808,,
1,2,4,7,3725.80965,,
1,2,5,7,3633.980099,,
1,2,1,8,3620.693998,,
1,2,2,8,3716.387341,,
1,2,3,8,3738.899322,,
1,2,4,8,3740.525307,,
1,2,5,8,3633.88151,,
1,2,1,9,3595.013242,,
1,2,2,9,3749.105392,,
1,2,3,9,3793.931049,,
1,2,4,9,3807.755576,,
1,2,5,9,3621.573964,,
1,2,1,10,3298.534867,,
1,2,2,10,3393.031061,,
1,2,3,10,3414.057551,,
1,2,4,10,3412.24959,,
1,2,5,10,3305.963337,,
2,2,3,2,4344.46177,,
2,2,4,2,4312.457028,,
2,2,5,2,4079.368017,,
2,2,1,3,3724.972209,,
2,2,2,3,3755.03505,,
2,2,3,3,3767.670139,,
2,2,4,3,3767.346463,,
2,2,5,3,3729.255566,,
2,2,1,4,3787.756802,,
2,2,2,4,3912.020775,,
2,2,3,4,3892.859153,,
2,2,4,4,3890.554605,,
2,2,5,4,3777.340859,,
2,2,1,5,3795.591452,,
2,2,2,5,3878.494322,,
2,2,3,5,3892.030466,,
2,2,4,5,3890.623601,,
2,2,5,5,3794.723226,,
2,2,1,6,3794.407728,,
2,2,2,6,3874.452375,,
2,2,3,6,3890.214271,,
2,2,4,6,3888.931564,,
2,2,5,6,3798.459841,,
2,2,1,7,3791.889515,,
2,2,2,7,3875.266898,,
2,2,3,7,3892.350274,,
2,2,4,7,3891.098278,,
2,2,5,7,3799.615837,,
2,2,1,8,3786.179797,,
2,2,2,8,3881.288703,,
2,2,3,8,3903.697849,,
2,2,4,8,3905.481005,,
2,2,5,8,3799.287135,,
2,2,1,9,3749.105392,,
2,2,2,9,3915.952385,,
2,2,3,9,3960.782738,,
2,2,4,9,3956.429971,,
2,2,5,9,3776.801606,,
2,2,1,10,3445.987006,,
2,2,2,10,3544.396284,,
2,2,3,10,3562.091044,,
2,2,4,10,3560.546228,,
2,2,5,10,3453.920311,,
3,2,4,2,4431.938616,,
3,2,5,2,4179.826623,,
3,2,1,3,3762.95096,,
3,2,2,3,3795.951527,,
3,2,3,3,3800.538056,,
3,2,4,3,3800.310184,,
3,2,5,3,3767.094358,,
3,2,1,4,3816.038539,,
3,2,2,4,3921.899051,,
3,2,3,4,3955.711823,,
3,2,4,4,3954.054261,,
3,2,5,4,3833.071197,,
3,2,1,5,3834.500737,,
3,2,2,5,3921.262023,,
3,2,3,5,3939.832975,,
3,2,4,5,3938.598946,,
3,2,5,5,3844.713652,,
3,2,1,6,3837.992918,,
3,2,2,6,3919.313556,,
3,2,3,6,3935.77135,,
3,2,4,6,3934.52324,,
3,2,5,6,3844.923653,,
3,2,1,7,3836.682229,,
3,2,2,7,3920.345064,,
3,2,3,7,3937.569186,,
3,2,4,7,3936.325123,,
3,2,5,7,3845.062505,,
3,2,1,8,3831.149675,,
3,2,2,8,3926.465383,,
3,2,3,8,3948.951374,,
3,2,4,8,3950.68763,,
3,2,5,8,3844.436486,,
3,2,1,9,3793.931049,,
3,2,2,9,3960.782738,,
3,2,3,9,4005.616742,,
3,2,4,9,4001.264214,,
3,2,5,9,3821.63855,,
3,2,1,10,3490.822149,,
3,2,2,10,3589.227264,,
3,2,3,10,3606.922477,,
3,2,4,10,3605.377691,,
3,2,5,10,3498.747791,,
4,2,5,2,4164.328546,,
4,2,1,3,3758.946707,,
4,2,2,3,3792.279595,,
4,2,3,3,3796.973843,,
4,2,4,3,3796.08347,,
4,2,5,3,3763.066661,,
4,2,1,4,3810.824712,,
4,2,2,4,3916.262784,,
4,2,3,4,3950.724066,,
4,2,4,4,3950.304198,,
4,2,5,4,3829.384251,,
4,2,1,5,3829.621913,,
4,2,2,5,3916.530242,,
4,2,3,5,3935.274287,,
4,2,4,5,3934.050964,,
4,2,5,5,3840.432704,,
4,2,1,6,3833.322786,,
4,2,2,6,3914.702356,,
4,2,3,6,3931.19477,,
4,2,4,6,3929.948574,,
4,2,5,6,3840.413016,,
4,2,1,7,3832.074559,,
4,2,2,7,3915.752376,,
4,2,3,7,3932.984426,,
4,2,4,7,3931.740816,,
4,2,5,7,3840.491973,,
4,2,1,8,3826.623248,,
4,2,2,8,3921.847428,,
4,2,3,8,3944.308707,,
4,2,4,8,3946.071453,,
4,2,5,8,3839.883171,,
4,2,1,9,3807.755576,,
4,2,2,9,3956.429971,,
4,2,3,9,4001.264214,,
4,2,4,9,4020.397255,,
4,2,5,9,3834.174175,,
4,2,1,10,3511.270548,,
4,2,2,10,3604.377728,,
4,2,3,10,3626.073004,,
4,2,4,10,3624.264941,,
4,2,5,10,3518.543418,,
5,2,1,3,3626.65853,,
5,2,2,3,3669.661273,,
5,2,3,3,3677.440777,,
5,2,4,3,3676.544021,,
5,2,5,3,3623.866915,,
5,2,1,4,3624.949935,,
5,2,2,4,3715.628816,,
5,2,3,4,3741.779986,,
5,2,4,4,3741.372675,,
5,2,5,4,3713.667942,,
5,2,1,5,3645.526457,,
5,2,2,5,3732.789977,,
5,2,3,5,3753.402029,,
5,2,4,5,3752.434928,,
5,2,5,5,3675.801662,,
5,2,1,6,3653.873404,,
5,2,2,6,3736.37089,,
5,2,3,6,3753.697861,,
5,2,4,6,3752.513027,,
5,2,5,6,3665.43289,,
5,2,1,7,3654.236309,,
5,2,2,7,3738.268612,,
5,2,3,7,3755.70936,,
5,2,4,7,3754.47871,,
5,2,5,7,3663.588377,,
5,2,1,8,3648.601214,,
5,2,2,8,3744.742359,,
5,2,3,8,3767.46992,,
5,2,4,8,3769.010322,,
5,2,5,8,3662.308651,,
5,2,1,9,3621.573964,,
5,2,2,9,3776.801606,,
5,2,3,9,3821.63855,,
5,2,4,9,3834.174175,,
5,2,5,9,3647.85654,,
5,2,1,10,3325.092595,,
5,2,2,10,3419.814696,,
5,2,3,10,3440.66398,,
5,2,4,10,3438.855866,,
5,2,5,10,3332.241269,,
1,3,2,3,4107.41686,,
1,3,3,3,4097.863553,,
1,3,4,3,4094.940674,,
1,3,5,3,3940.001173,,
1,3,1,4,3645.521532,,
1,3,2,4,3689.845878,,
1,3,3,4,3700.556864,,
1,3,4,4,3700.018243,,
1,3,5,4,3653.326667,,
1,3,1,5,3737.759037,,
1,3,2,5,3751.900416,,
1,3,3,5,3751.450465,,
1,3,4,5,3749.591676,,
1,3,5,5,3651.062388,,
1,3,1,6,3694.664654,,
1,3,2,6,3759.639998,,
1,3,3,6,3769.602465,,
1,3,4,6,3768.060266,,
1,3,5,6,3671.712016,,
1,3,1,7,3679.522896,,
1,3,2,7,3760.015841,,
1,3,3,7,3775.646336,,
1,3,4,7,3774.318919,,
1,3,5,7,3680.84534,,
1,3,1,8,3670.710164,,
1,3,2,8,3765.747051,,
1,3,3,8,3787.945864,,
1,3,4,8,3789.595851,,
1,3,5,8,3682.637882,,
1,3,1,9,3620.693998,,
1,3,2,9,3786.179797,,
1,3,3,9,3831.149675,,
1,3,4,9,3826.623248,,
1,3,5,9,3648.601214,,
1,3,1,10,3317.529227,,
1,3,2,10,3415.029533,,
1,3,3,10,3431.707059,,
1,3,4,10,3430.241891,,
1,3,5,10,3325.376999,,
2,3,3,3,4289.804484,,
2,3,4,3,4285.578511,,
2,3,5,3,4090.334242,,
2,3,1,4,3710.806812,,
