defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,9352.835962
1,1,3,1,9373.683711
1,1,4,1,9371.837017
1,1,5,1,9245.578193
1,1,1,2,9195.878289
1,1,2,2,9179.309148
1,1,3,2,9226.836519
1,1,4,2,9226.561241
1,1,5,2,9205.819509
1,1,1,3,9301.638532
1,1,2,3,9201.20799
1,1,3,3,9249.327915
1,1,4,3,9248.716942
1,1,5,3,9210.128793
1,1,1,4,9241.320954
1,1,2,4,9276.736082
1,1,3,4,9248.870104
1,1,4,4,9248.309942
1,1,5,4,9210.152833
1,1,1,5,9241.956853
1,1,2,5,9276.571956
1,1,3,5,9283.972788
1,1,4,5,9283.434261
1,1,5,5,9246.806997
1,1,1,6,9242.439345
1,1,2,6,9276.535727
1,1,3,6,9283.872122
1,1,4,6,9283.33113
1,1,5,6,9246.685294
1,1,1,7,9243.024585
1,1,2,7,9276.384324
1,1,3,7,9283.659064
1,1,4,7,9283.120633
1,1,5,7,9246.994661
1,1,1,8,9244.45116
1,1,2,8,9277.884864
1,1,3,8,9285.51936
1,1,4,8,9284.977545
1,1,5,8,9249.183376
1,1,1,9,9246.150506
1,1,2,9,9325.885004
1,1,3,9,9349.527525
1,1,4,9,9348.445845
1,1,5,9,9258.156688
1,1,1,10,9124.028893
1,1,2,10,9230.746459
1,1,3,10,9249.099114
1,1,4,10,9247.501689
1,1,5,10,9135.410445
2,1,3,1,9502.509366
2,1,4,1,9500.620911
2,1,5,1,9366.402669
2,1,1,2,9288.715471
2,1,2,2,9265.189132
2,1,3,2,9271.013251
2,1,4,2,9270.801001
2,1,5,2,9293.661152
2,1,1,3,9316.083653
2,1,2,3,9318.208284
2,1,3,3,9327.919797
2,1,4,3,9327.197789
2,1,5,3,9320.155527
2,1,1,4,9314.487991
2,1,2,4,9310.881029
2,1,3,4,9319.295228
2,1,4,4,9318.7065
2,1,5,4,9318.555299
2,1,1,5,9314.09861
2,1,2,5,9310.798073
2,1,3,5,9318.903704
2,1,4,5,9318.308292
2,1,5,5,9317.947205
2,1,1,6,9314.154926
2,1,2,6,9310.837732
2,1,3,6,9318.870254
2,1,4,6,9318.272304
2,1,5,6,9317.894483
2,1,1,7,9314.56771
2,1,2,7,9310.686566
2,1,3,7,9318.66963
2,1,4,7,9318.075823
2,1,5,7,9318.31379
2,1,1,8,9316.082404
2,1,2,8,9268.338868
2,1,3,8,9277.258716
2,1,4,8,9276.62161
2,1,5,8,9320.757389
2,1,1,9,9317.742824
2,1,2,9,9317.336479
2,1,3,9,9342.647755
2,1,4,9,9341.470948
2,1,5,9,9329.920774
2,1,1,10,9230.746459
2,1,2,10,9203.049232
2,1,3,10,9223.466547
2,1,4,10,9221.715924
2,1,5,10,9201.767673
3,1,4,1,9523.335283
3,1,5,1,9388.255223
3,1,1,2,9305.032516
3,1,2,2,9281.278089
3,1,3,2,9284.842281
3,1,4,2,9284.625332
3,1,5,2,9307.048926
3,1,1,3,9334.63549
3,1,2,3,9339.418131
