Current,X,Y,Voltage_Drop
700,1,10,89.9590344161675
700,2,1,9.018928622776
700,2,2,29.5050093592661
700,2,3,33.6036955577649
700,2,4,33.9583068141558
700,2,5,33.9762038483714
700,2,6,33.9762038483893
700,2,7,33.9583068142128
700,2,8,33.6036955578202
700,2,9,29.5050093593175
700,2,10,9.01892862279396
700,3,1,0.449844057773589
700,3,2,25.4496117764204
700,3,3,33.2314938185007
700,3,4,33.9126828786227
700,3,5,33.9678485404124
700,3,6,33.9678485404309
700,3,7,33.912682878675
700,3,8,33.2314938185498
700,3,9,25.4496117764843
700,3,10,0.449844057775181
700,4,1,1.57622380335715
700,4,2,25.6142238290772
700,4,3,33.2304683042537
700,4,4,33.911051920011
700,4,5,33.9673576777407
700,4,6,33.9673576777568
700,4,7,33.9110519200647
700,4,8,33.2304683043005
700,4,9,25.6142238291404
700,4,10,1.57622380336011
700,5,1,84.6642310359741
700,5,2,36.3392264921149
700,5,3,33.8733317332994
700,5,4,33.9175361378764
700,5,5,33.9590919261213
700,5,6,33.9590919261284
700,5,7,33.9175361379182
700,5,8,33.8733317333565
700,5,9,36.3392264921881
700,5,10,84.6642310360846
800,1,1,161.332922392759
800,1,2,147.793053542878
800,1,3,147.602218706076
800,1,4,147.534251564283
800,1,5,147.51715778113
800,1,6,147.517157781225
800,1,7,147.534251564364
800,1,8,147.602218706254
800,1,9,147.793053543038
800,1,10,161.332922393106
800,2,1,59.4923118450561
800,2,2,143.171327029328
800,2,3,147.481763258453
800,2,4,147.520166573337
800,2,5,147.514208792998
800,2,6,147.514208793069
800,2,7,147.520166573384
800,2,8,147.481763258649
800,2,9,143.171327029539
800,2,10,59.4923118452496
800,3,1,42.9950210885941
800,3,2,142.011744274982
800,3,3,147.419904776434
800,3,4,147.511477782139
800,3,5,147.512651089821
800,3,6,147.512651089866
800,3,7,147.511477782177
800,3,8,147.419904776646
800,3,9,142.011744275181
800,3,10,42.99502108874
800,4,1,44.4893859021545
800,4,2,142.042597006659
800,4,3,147.415481780754
800,4,4,147.510747501389
800,4,5,147.512535163024
800,4,6,147.512535163064
800,4,7,147.510747501429
800,4,8,147.415481780963
800,4,9,142.042597006862
800,4,10,44.4893859023023
800,5,1,150.66640872711
800,5,2,145.743002117527
800,5,3,147.314428472124
800,5,4,147.491153297787
800,5,5,147.509766804129
800,5,6,147.509766804145
800,5,7,147.491153297835
800,5,8,147.314428472309
800,5,9,145.74300211774
800,5,10,150.666408727402
900,1,1,306.415987728747
900,1,2,316.064555974459
900,1,3,315.523735017392
900,1,4,315.400919133483
900,1,5,315.385575722346
900,1,6,315.385575722556
900,1,7,315.400919133803
900,1,8,315.523735017817
900,1,9,316.064555975027
900,1,10,306.41598772903
900,2,1,197.181030377884
900,2,2,314.02939480282
900,2,3,315.417574121323
900,2,4,315.38495454746
900,2,5,315.383229356172
900,2,6,315.383229356432
900,2,7,315.384954547817
900,2,8,315.417574121718
900,2,9,314.029394803274
900,2,10,197.181030378214
900,3,1,179.164730808074
900,3,2,313.431268585286
900,3,3,315.36495618006
900,3,4,315.377253956608
900,3,5,315.382011763029
900,3,6,315.382011763315
900,3,7,315.377253956958
900,3,8,315.364956180432
900,3,9,313.431268585731
900,3,10,179.164730808431
900,4,1,180.756533434349
900,4,2,313.427608990527
900,4,3,315.361314080991
900,4,4,315.376726451984
900,4,5,315.381919813448
900,4,6,315.38191981375
900,4,7,315.37672645233
900,4,8,315.361314081362
900,4,9,313.427608990974
900,4,10,180.756533434702
900,5,1,294.607907253444
900,5,2,314.378502661405
900,5,3,315.281201104871
900,5,4,315.365300141639
900,5,5,315.379691514282
900,5,6,315.379691514504
900,5,7,315.365300141988
900,5,8,315.281201105267
900,5,9,314.378502661842
900,5,10,294.607907253866
