defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,53.26575355
1,1,3,1,30.35685345
1,1,4,1,30.40609662
1,1,5,1,34.06636538
1,1,1,2,26.84783914
1,1,2,2,37.48851644
1,1,3,2,30.39943222
1,1,4,2,30.48175336
1,1,5,2,22.87933291
1,1,1,3,27.83847394
1,1,2,3,34.22570057
1,1,3,3,30.41844447
1,1,4,3,30.51308999
1,1,5,3,20.09658756
1,1,1,4,28.45448807
1,1,2,4,32.83582774
1,1,3,4,30.4216584
1,1,4,4,30.51956737
1,1,5,4,19.03680614
1,1,1,5,29.0196722
1,1,2,5,32.06362818
1,1,3,5,30.41522903
1,1,4,5,30.51113186
1,1,5,5,18.59668775
1,1,1,6,29.68041438
1,1,2,6,31.56870661
1,1,3,6,30.40255609
1,1,4,6,30.49273096
1,1,5,6,18.52098647
1,1,1,7,30.60434663
1,1,2,7,31.22195053
1,1,3,7,30.38573892
1,1,4,7,30.46704221
1,1,5,7,18.79071508
1,1,1,8,32.18647121
1,1,2,8,30.96435223
1,1,3,8,30.36645986
1,1,4,8,30.43563899
1,1,5,8,19.63014231
1,1,1,9,35.80046373
1,1,2,9,30.76477882
1,1,3,9,30.3469015
1,1,4,9,30.39970929
1,1,5,9,22.0249374
1,1,1,10,49.33494895
1,1,2,10,30.57928794
1,1,3,10,30.33127612
1,1,4,10,30.36027851
1,1,5,10,31.93827995
2,1,3,1,15.55221359
2,1,4,1,15.55547498
2,1,5,1,30.95871679
2,1,1,2,20.86818737
2,1,2,2,15.695176
2,1,3,2,15.56355114
2,1,4,2,15.5897052
2,1,5,2,17.79215946
2,1,1,3,15.21393768
2,1,2,3,15.81980399
2,1,3,3,15.58148192
2,1,4,3,15.6167709
2,1,5,3,14.37452682
2,1,1,4,13.30163363
2,1,2,4,15.90180547
2,1,3,4,15.59437157
2,1,4,4,15.63441679
2,1,5,4,13.08412515
2,1,1,5,12.59699169
2,1,2,5,15.95033177
2,1,3,5,15.60005796
2,1,4,5,15.64233196
2,1,5,5,12.59431102
2,1,1,6,12.52102281
2,1,2,6,15.9698528
2,1,3,6,15.59827187
2,1,4,6,15.64085892
2,1,5,6,12.58612242
2,1,1,7,12.98210942
2,1,2,7,15.96098054
2,1,3,7,15.58888777
2,1,4,7,15.62999424
2,1,5,7,13.05747046
2,1,1,8,14.25465029
2,1,2,8,15.92045096
2,1,3,8,15.57171893
2,1,4,8,15.60927531
2,1,5,8,14.32144717
2,1,1,9,17.62100275
2,1,2,9,15.83902237
2,1,3,9,15.54757794
2,1,4,9,15.57855102
2,1,5,9,17.68700427
2,1,1,10,30.57928918
2,1,2,10,15.6954996
2,1,3,10,15.52260038
2,1,4,10,15.54082181
2,1,5,10,30.68126075
3,1,4,1,15.58280784
3,1,5,1,30.42383985
3,1,1,2,17.43048204
3,1,2,2,15.70366903
3,1,3,2,15.34321013
3,1,4,2,15.39979709
3,1,5,2,17.4366244
3,1,1,3,14.10787772
3,1,2,3,15.80098568
3,1,3,3,15.36867461
3,1,4,3,15.41962705
3,1,5,3,14.07764884
3,1,1,4,12.86784144
3,1,2,4,15.85894226
3,1,3,4,15.3859063
3,1,4,4,15.43544453
3,1,5,4,12.81297286
3,1,1,5,12.40370902
3,1,2,5,15.88561396
3,1,3,5,15.39442332
3,1,4,5,15.44272594
3,1,5,5,12.33631266
3,1,1,6,12.40307987
3,1,2,6,15.88436768
3,1,3,6,15.39468864
3,1,4,6,15.44111018
3,1,5,6,12.33487186
3,1,1,7,12.86571395
3,1,2,7,15.85507912
3,1,3,7,15.38689996
3,1,4,7,15.43036163
3,1,5,7,12.80847809
3,1,1,8,14.10347942
3,1,2,8,15.79382398
3,1,3,8,15.37099372
3,1,4,8,15.4098822
3,1,5,8,14.06987463
3,1,1,9,17.42120502
3,1,2,9,15.69051834
3,1,3,9,15.34779873
3,1,4,9,15.37940134
3,1,5,9,17.4237812
3,1,1,10,30.33127555
3,1,2,10,15.5226
3,1,3,10,15.3234
3,1,4,10,15.34180967
3,1,5,10,30.37622364
4,1,5,1,31.83448125
4,1,1,2,17.46311019
4,1,2,2,15.71502778
4,1,3,2,15.38014561
4,1,4,2,15.37515909
4,1,5,2,17.63373885
4,1,1,3,14.13530306
4,1,2,3,15.81488183
4,1,3,3,15.39541717
4,1,4,3,15.40891133
4,1,5,3,14.06788244
4,1,1,4,12.89296153
4,1,2,4,15.87432148
4,1,3,4,15.40906953
4,1,4,4,15.43143181
4,1,5,4,12.73259591
4,1,1,5,12.42763831
4,1,2,5,15.90197706
4,1,3,5,15.41576799
4,1,4,5,15.44322314
4,1,5,5,12.22942013
4,1,1,6,12.42639899
4,1,2,6,15.90141233
4,1,3,6,15.41494357
4,1,4,6,15.44513242
4,1,5,6,12.23472156
4,1,1,7,12.88884853
4,1,2,7,15.87260653
4,1,3,7,15.40643185
4,1,4,7,15.43739742
4,1,5,7,12.73242139
4,1,1,8,14.12690705
4,1,2,8,15.81169061
4,1,3,8,15.39001935
4,1,4,8,15.41967319
4,1,5,8,14.02798007
4,1,1,9,17.44585047
4,1,2,9,15.70861116
4,1,3,9,15.36646124
4,1,4,9,15.39187314
4,1,5,9,17.41749977
4,1,1,10,30.36027753
4,1,2,10,15.54082157
4,1,3,10,15.34180989
4,1,4,10,15.35708491
4,1,5,10,30.39593105
5,1,1,2,22.98508552
5,1,2,2,31.34189864
5,1,3,2,30.4324705
5,1,4,2,31.0420455
5,1,5,2,26.81194272
5,1,1,3,20.28739317
5,1,2,3,31.49270176
5,1,3,3,30.43943115
5,1,4,3,30.79505862
5,1,5,3,27.76706061
5,1,1,4,19.26205846
5,1,2,4,31.52950539
5,1,3,4,30.43989696
5,1,4,4,30.67120471
5,1,5,4,28.35279437
5,1,1,5,18.82081748
5,1,2,5,31.49884826
5,1,3,5,30.43503456
5,1,4,5,30.5929836
5,1,5,5,28.89114607
5,1,1,6,18.72108228
5,1,2,6,31.42098162
5,1,3,6,30.42621538
5,1,4,6,30.53617632
5,1,5,6,29.53232098
5,1,1,7,18.94940532
5,1,2,7,31.30463673
5,1,3,7,30.41453906
5,1,4,7,30.49106526
5,1,5,7,30.45096466
5,1,1,8,19.7357644
5,1,2,8,31.15088192
5,1,3,8,30.40103787
5,1,4,8,30.45333376
5,1,5,8,32.05350461
5,1,1,9,22.06986865
5,1,2,9,30.95167293
5,1,3,9,30.38731478
5,1,4,9,30.42169347
5,1,5,9,35.72851802
5,1,1,10,31.93828187
5,1,2,10,30.68126243
5,1,3,10,30.37622408
5,1,4,10,30.39593172
5,1,5,10,49.38189592
1,2,2,2,27.53579088
1,2,3,2,17.48872317
1,2,4,2,17.53963629
1,2,5,2,12.58662757
1,2,1,3,16.07587334
1,2,2,3,21.8830812
1,2,3,3,17.50019953
1,2,4,3,17.56427327
1,2,5,3,10.04479219
1,2,1,4,16.61912663
1,2,2,4,20.02331037
1,2,3,4,17.50163948
1,2,4,4,17.57086891
1,2,5,4,9.106654348
1,2,1,5,17.11959223
1,2,2,5,19.10853165
1,2,3,5,17.49711684
1,2,4,5,17.56740532
1,2,5,5,8.739692851
1,2,1,6,17.71127667
1,2,2,6,18.56398437
1,2,3,6,17.48779674
1,2,4,6,17.55609233
1,2,5,6,8.71069713
1,2,1,7,18.53428597
1,2,2,7,18.20257729
1,2,3,7,17.47434956
1,2,4,7,17.53788745
1,2,5,7,9.007731957
1,2,1,8,19.94033445
1,2,2,8,17.95173831
1,2,3,8,17.45742525
1,2,4,8,17.51319651
1,2,5,8,9.856379669
1,2,1,9,23.19951476
1,2,2,9,17.77079717
1,2,3,9,17.43833346
1,2,4,9,17.48225386
1,2,5,9,12.23268547
1,2,1,10,35.80046446
1,2,2,10,17.62100246
1,2,3,10,17.42120339
1,2,4,10,17.44584929
1,2,5,10,22.06986907
2,2,3,2,15.8013336
2,2,4,2,15.80614977
2,2,5,2,18.09475136
2,2,1,3,17.00159719
2,2,2,3,15.82865016
2,2,3,3,15.77425574
2,2,4,3,15.80308477
2,2,5,3,14.62476337
2,2,1,4,14.08846446
2,2,2,4,15.93410895
2,2,3,4,15.77597064
2,2,4,4,15.81246154
2,2,5,4,13.31048246
2,2,1,5,13.01742294
2,2,2,5,16.00262039
2,2,3,5,15.77694097
2,2,4,5,15.81707145
2,2,5,5,12.8087523
2,2,1,6,12.76209945
2,2,2,6,16.03982871
2,2,3,6,15.77234463
2,2,4,6,15.81360221
2,2,5,6,12.7947402
2,2,1,7,13.13598198
2,2,2,7,16.04780827
2,2,3,7,15.76086094
2,2,4,7,15.80114199
2,2,5,7,13.26459475
2,2,1,8,14.3851148
2,2,2,8,16.02435598
2,2,3,8,15.74198102
2,2,4,8,15.77903592
2,2,5,8,14.53203233
2,2,1,9,17.77079777
2,2,2,9,15.96129185
2,2,3,9,15.71646182
2,2,4,9,15.74715266
2,2,5,9,17.91081748
2,2,1,10,30.76477872
2,2,2,10,15.83902359
2,2,3,10,15.69051722
2,2,4,10,15.70861197
2,2,5,10,30.95167352
3,2,4,2,15.84933441
3,2,5,2,17.54778095
3,2,1,3,14.143118
3,2,2,3,15.84791375
3,2,3,3,15.38047644
3,2,4,3,15.4707649
3,2,5,3,14.11541806
3,2,1,4,12.8941654
3,2,2,4,15.89509527
3,2,3,4,15.40372067
3,2,4,4,15.47011676
3,2,5,4,12.8378268
3,2,1,5,12.42607335
3,2,2,5,15.91777765
3,2,3,5,15.41548369
3,2,4,5,15.47311048
3,2,5,5,12.35574614
3,2,1,6,12.42336658
3,2,2,6,15.91435373
3,2,3,6,15.41753091
3,2,4,6,15.46949798
3,2,5,6,12.35115737
3,2,1,7,12.88470234
3,2,2,7,15.88348042
3,2,3,7,15.41068145
3,2,4,7,15.45743333
3,2,5,7,12.82266805
3,2,1,8,14.12150741
3,2,2,8,15.82090864
3,2,3,8,15.39523291
3,2,4,8,15.4359459
3,2,5,8,14.08258639
3,2,1,9,17.43833467
3,2,2,9,15.71646302
3,2,3,9,15.37220458
3,2,4,9,15.40466243
3,2,5,9,17.43548046
3,2,1,10,30.34690291
3,2,2,10,15.54757788
3,2,3,10,15.34779911
3,2,4,10,15.36646003
3,2,5,10,30.38731476
