defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,87.42952565
1,1,3,1,46.65767274
1,1,4,1,46.66169759
1,1,5,1,97.60648623
1,1,1,2,48.72061077
1,1,2,2,62.63212455
1,1,3,2,46.65809098
1,1,4,2,46.6623633
1,1,5,2,77.57911251
1,1,1,3,49.24300724
1,1,2,3,56.22897642
1,1,3,3,46.65827967
1,1,4,3,46.66251896
1,1,5,3,70.26382402
1,1,1,4,50.04317368
1,1,2,4,53.29047943
1,1,3,4,46.65831059
1,1,4,4,46.66244059
1,1,5,4,66.94627999
1,1,1,5,51.16130167
1,1,2,5,51.6033383
1,1,3,5,46.65824526
1,1,4,5,46.66223458
1,1,5,5,65.5197873
1,1,1,6,52.740504
1,1,2,6,50.50848653
1,1,3,6,46.65811654
1,1,4,6,46.6619479
1,1,5,6,65.36505553
1,1,1,7,55.09212865
1,1,2,7,49.74055916
1,1,3,7,46.65794363
1,1,4,7,46.66160578
1,1,5,7,66.45101102
1,1,1,8,58.93112706
1,1,2,8,49.17211025
1,1,3,8,46.65774808
1,1,4,8,46.66122319
1,1,5,8,69.31097356
1,1,1,9,66.27842133
1,1,2,9,48.73427262
1,1,3,9,46.65755055
1,1,4,9,46.6608047
1,1,5,9,75.84348598
1,1,1,10,85.30031189
1,1,2,10,48.38588058
1,1,3,10,46.65739384
1,1,4,10,46.66032048
1,1,5,10,93.9742441
2,1,3,1,0.173357117
2,1,4,1,0.173114151
2,1,5,1,46.69665667
2,1,1,2,43.4040404
2,1,2,2,0.174653111
2,1,3,2,0.172457336
2,1,4,2,0.173486182
2,1,5,2,28.65040389
2,1,1,3,30.674696
2,1,2,3,0.177514974
2,1,3,3,0.172324694
2,1,4,3,0.173756621
2,1,5,3,22.10724734
2,1,1,4,25.12816725
2,1,2,4,0.17981339
2,1,3,4,0.17229418
2,1,4,4,0.173922463
2,1,5,4,19.18801192
2,1,1,5,22.50864107
2,1,2,5,0.181696796
2,1,3,5,0.172244253
2,1,4,5,0.173984307
2,1,5,5,18.00051701
2,1,1,6,21.60927559
2,1,2,6,0.183246804
2,1,3,6,0.172143371
2,1,4,6,0.17395065
2,1,5,6,18.00015239
2,1,1,7,22.17484082
2,1,2,7,0.184493347
2,1,3,7,0.171980502
2,1,4,7,0.173825317
2,1,5,7,19.18683594
2,1,1,8,24.62769994
2,1,2,8,0.185414134
2,1,3,8,0.171752056
2,1,4,8,0.17360821
2,1,5,8,22.10493081
2,1,1,9,30.78221037
2,1,2,9,0.185881928
2,1,3,9,0.171468578
