defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,129683.483306245
1,1,3,1,136174.375947836
1,1,4,1,135858.885164182
1,1,5,1,107401.386452093
1,1,1,2,85067.7120490706
1,1,2,2,90799.6752825603
1,1,3,2,95749.1779193898
1,1,4,2,95658.3076392619
1,1,5,2,77359.1360001212
1,1,1,3,95932.847883086
1,1,2,3,96651.2228082405
1,1,3,3,95839.2880154419
1,1,4,3,95568.6513715635
1,1,5,3,83034.9480954146
1,1,1,4,99048.2137903311
1,1,2,4,98035.0724426379
1,1,3,4,96274.2096475421
1,1,4,4,96047.31585666
1,1,5,4,85902.416959744
1,1,1,5,99048.6427115665
1,1,2,5,98971.4785506321
1,1,3,5,97719.1629701686
1,1,4,5,97517.5873994375
1,1,5,5,88136.4375602511
1,1,1,6,97224.0889670327
1,1,2,6,99421.6828311969
1,1,3,6,99249.1218098467
1,1,4,6,99000.0611915377
1,1,5,6,88826.542109195
1,1,1,7,93752.6056590984
1,1,2,7,99435.9609708043
1,1,3,7,100382.362081473
1,1,4,7,100026.823390194
1,1,5,7,87699.2092000449
1,1,1,8,88147.3042449644
1,1,2,8,98348.5640813385
1,1,3,8,100102.739975625
1,1,4,8,99672.9825373526
1,1,5,8,83993.8593342529
1,1,1,9,76415.7720743181
1,1,2,9,92273.7355956196
1,1,3,9,93702.4562102354
1,1,4,9,93350.082971869
1,1,5,9,73180.582895379
1,1,1,10,51373.9739745325
1,1,2,10,60813.9734284589
1,1,3,10,59337.4661009496
1,1,4,10,59321.6273616945
1,1,5,10,47191.9556266793
2,1,3,1,163901.78940041
2,1,4,1,163621.767741013
2,1,5,1,135100.256980321
2,1,1,2,85723.7996065174
2,1,2,2,99177.4982631172
2,1,3,2,100865.182916321
2,1,4,2,100666.99558692
2,1,5,2,86981.8086156492
2,1,1,3,97455.7538968369
2,1,2,3,111559.154822334
2,1,3,3,108691.263289099
2,1,4,3,108329.810573346
2,1,5,3,96269.4036297261
2,1,1,4,101085.020152225
2,1,2,4,114026.454422221
2,1,3,4,110562.221733136
2,1,4,4,110276.707168988
2,1,5,4,99681.5811153656
2,1,1,5,102799.298323951
2,1,2,5,114057.23187366
2,1,3,5,111799.131735245
2,1,4,5,111581.872348914
2,1,5,5,101838.041286767
2,1,1,6,102470.488536008
2,1,2,6,113333.267479833
2,1,3,6,112724.920512932
2,1,4,6,112487.834954805
2,1,5,6,102236.130778792
2,1,1,7,100238.486183584
2,1,2,7,112297.529178625
2,1,3,7,113252.8555947
2,1,4,7,112922.466423185
2,1,5,7,100742.627010734
2,1,1,8,95678.7700523926
2,1,2,8,110425.146980177
2,1,3,8,112480.827595497
2,1,4,8,112078.869048042
2,1,5,8,96676.960759094
2,1,1,9,84884.7685724508
2,1,2,9,103877.739934423
2,1,3,9,105719.71446266
2,1,4,9,105391.955125577
2,1,5,9,85533.9766793305
2,1,1,10,60813.9734774238
2,1,2,10,72232.9728411871
2,1,3,10,71121.822879331
2,1,4,10,71123.5977538127
2,1,5,10,59264.0685574849
3,1,4,1,167022.503805292
3,1,5,1,138961.81528623
3,1,1,2,86470.8872847938
3,1,2,2,98284.3310720205
3,1,3,2,99208.6307463739
3,1,4,2,98927.3106541696
3,1,5,2,88007.6777555007
3,1,1,3,94319.1778845732
3,1,2,3,106426.463688499
3,1,3,3,110503.186350905
3,1,4,3,110038.170373588
3,1,5,3,97808.218946338
3,1,1,4,97541.6727962903
3,1,2,4,108600.454462745
3,1,3,4,112853.443086112
3,1,4,4,112501.934811567
3,1,5,4,101393.193254799
3,1,1,5,99359.1069074424
3,1,2,5,109611.22141908
3,1,3,5,113272.345524352
3,1,4,5,113082.200173047
3,1,5,5,103165.370379751
3,1,1,6,99424.1709761458
3,1,2,6,109932.390376498
3,1,3,6,113354.336743021
3,1,4,6,113194.09125877
3,1,5,6,103148.429335678
3,1,1,7,97632.6072085811
3,1,2,7,109797.276503649
3,1,3,7,113285.65457918
3,1,4,7,113022.216138472
3,1,5,7,101259.225481888
3,1,1,8,93482.4943930075
3,1,2,8,108610.928588452
3,1,3,8,112144.578656772
3,1,4,8,111785.681668101
3,1,5,8,96852.2806240809
3,1,1,9,83055.6775174855
3,1,2,9,102506.564684519
3,1,3,9,105169.221257465
3,1,4,9,104867.250798938
3,1,5,9,85424.5829127302
3,1,1,10,59337.4660767367
3,1,2,10,71121.8228430881
3,1,3,10,70454.1088850616
3,1,4,10,70470.5578592235
3,1,5,10,58919.0970662963
4,1,5,1,138419.176893552
4,1,1,2,86360.3155616827
4,1,2,2,98489.3861696484
4,1,3,2,99185.163926385
4,1,4,2,99177.5788029957
4,1,5,2,88009.2636956027
4,1,1,3,94123.8423435412
4,1,2,3,106221.298018951
4,1,3,3,110169.434400064
4,1,4,3,110500.556280148
4,1,5,3,98053.098678434
4,1,1,4,97353.5002974527
4,1,2,4,108371.310741298
4,1,3,4,112570.836114237
4,1,4,4,112875.55663824
4,1,5,4,101633.876673468
4,1,1,5,99212.7975258497
4,1,2,5,109457.255359472
4,1,3,5,113150.711500915
4,1,4,5,113287.795714981
4,1,5,5,103360.36438618
4,1,1,6,99314.0960572283
4,1,2,6,109840.845876131
4,1,3,6,113341.373662573
4,1,4,6,113280.530648448
4,1,5,6,103301.712107568
4,1,1,7,97553.744260391
4,1,2,7,109748.981740751
4,1,3,7,113304.633812075
4,1,4,7,113060.412958331
4,1,5,7,101375.298309615
4,1,1,8,93428.8555224524
4,1,2,8,108588.868746384
4,1,3,8,112165.414409277
4,1,4,8,111810.271191084
4,1,5,8,96938.2171859705
4,1,1,9,83022.2933250394
4,1,2,9,102499.486887353
4,1,3,9,105187.676224681
4,1,4,9,104886.968365287
4,1,5,9,85487.1012957037
4,1,1,10,59321.627649185
4,1,2,10,71123.5978067622
4,1,3,10,70470.5578241873
4,1,4,10,70487.6438194672
4,1,5,10,58963.369480183
5,1,1,2,73901.9827282847
5,1,2,2,91886.7464974603
5,1,3,2,91672.08730448
5,1,4,2,91571.5675573496
5,1,5,2,85719.1121686765
5,1,1,3,79502.2154723562
5,1,2,3,92127.797593599
5,1,3,3,95301.3968043118
5,1,4,3,95529.8004957555
5,1,5,3,96553.3219489176
5,1,1,4,82430.1456608635
5,1,2,4,93034.6298319906
5,1,3,4,96711.3666860721
5,1,4,4,96921.3867419613
5,1,5,4,99640.0646720938
5,1,1,5,84750.4936994745
5,1,2,5,94716.4302857631
5,1,3,5,98258.7746793354
5,1,4,5,98393.0103462443
5,1,5,5,99763.7995505749
5,1,1,6,85388.0503005077
5,1,2,6,95928.5166508166
5,1,3,6,99638.0986786707
5,1,4,6,99643.2589319824
5,1,5,6,98175.654060613
5,1,1,7,84158.3594621722
5,1,2,7,96578.2704870077
5,1,3,7,100547.423069908
5,1,4,7,100379.560193939
5,1,5,7,94954.3618038986
5,1,1,8,80505.7834367915
5,1,2,8,96001.3625889109
5,1,3,8,100045.333415936
5,1,4,8,99751.1177795204
5,1,5,8,89416.8687845079
5,1,1,9,70513.7176340102
5,1,2,9,90340.1578632433
5,1,3,9,93451.9279430605
5,1,4,9,93194.6752401402
5,1,5,9,76997.8230509806
5,1,1,10,47191.9556941433
