defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,384978.211518576
1,1,3,1,396788.763162046
1,1,4,1,396696.480977008
1,1,5,1,369118.567335835
1,1,1,2,389590.080848179
1,1,2,2,390840.884761244
1,1,3,2,390777.149899572
1,1,4,2,390434.902247714
1,1,5,2,375706.333936407
1,1,1,3,396479.097531763
1,1,2,3,397940.177135468
1,1,3,3,398173.007729851
1,1,4,3,397843.036203334
1,1,5,3,381517.649326516
1,1,1,4,389017.030782927
1,1,2,4,398463.654382091
1,1,3,4,400687.449878626
1,1,4,4,400438.296099868
1,1,5,4,385532.648141838
1,1,1,5,386926.437037953
1,1,2,5,398258.646698068
1,1,3,5,401230.405694274
1,1,4,5,401016.701609248
1,1,5,5,386979.091278889
1,1,1,6,386417.354960056
1,1,2,6,398191.564323712
1,1,3,6,401375.827050964
1,1,4,6,401172.854465393
1,1,5,6,387396.24039719
1,1,1,7,386001.420867826
1,1,2,7,398362.566528744
1,1,3,7,401760.289697134
1,1,4,7,401561.70960959
1,1,5,7,387564.888040967
1,1,1,8,384965.933049912
1,1,2,8,399425.119550185
1,1,3,8,403728.067429798
1,1,4,8,403921.044066798
1,1,5,8,387470.701894154
1,1,1,9,382634.840198629
1,1,2,9,405626.512666107
1,1,3,9,413517.652151197
1,1,4,9,417321.55142477
1,1,5,9,387424.530271432
1,1,1,10,338824.705387483
1,1,2,10,366181.12254641
1,1,3,10,372847.668870533
1,1,4,10,372362.754253019
1,1,5,10,341959.558369694
2,1,3,1,421231.436881267
2,1,4,1,421252.22702238
2,1,5,1,394853.195819594
2,1,1,2,404872.284417295
2,1,2,2,420366.849654281
2,1,3,2,418148.581108415
2,1,4,2,417720.641940726
2,1,5,2,402925.704863515
2,1,1,3,414571.369642382
2,1,2,3,434549.114630158
2,1,3,3,431895.774348627
2,1,4,3,431507.765145536
2,1,5,3,413008.279515154
2,1,1,4,415783.063557809
2,1,2,4,428146.277866607
2,1,3,4,430991.907826657
2,1,4,4,430767.275992257
2,1,5,4,415975.775576503
2,1,1,5,415655.106695751
2,1,2,5,427434.187964365
2,1,3,5,430602.571160562
2,1,4,5,430398.117615741
2,1,5,5,416544.061426878
2,1,1,6,415528.349818642
2,1,2,6,427375.745083468
2,1,3,6,430602.358833717
2,1,4,6,430401.657545522
2,1,5,6,416680.311837967
2,1,1,7,415189.889337315
2,1,2,7,427558.771462846
2,1,3,7,430964.191773684
2,1,4,7,430766.057793828
2,1,5,7,416779.766678057
2,1,1,8,414250.796377295
2,1,2,8,428585.011194305
2,1,3,8,432850.710154111
2,1,4,8,433081.86247376
2,1,5,8,416711.065585653
2,1,1,9,411396.289504051
2,1,2,9,435065.858568468
2,1,3,9,442956.520570257
2,1,4,9,445860.348588336
2,1,5,9,416208.885051628
2,1,1,10,366181.122546201
2,1,2,10,395650.900825854
2,1,3,10,401807.518489261
2,1,4,10,401327.619372314
2,1,5,10,369374.107058677
3,1,4,1,422430.009749254
3,1,5,1,396780.8313855
3,1,1,2,406338.756337315
3,1,2,2,419870.348458288
3,1,3,2,426201.582433402
3,1,4,2,425700.140952745
3,1,5,2,409964.846154258
3,1,1,3,417161.812586974
3,1,2,3,434187.785399836
3,1,3,3,440782.879607701
3,1,4,3,440506.233869231
3,1,5,3,420771.629209325
3,1,1,4,420424.183056676
3,1,2,4,433431.923701417
3,1,3,4,437116.028701457
3,1,4,4,436921.038076022
3,1,5,4,422480.628475538
3,1,1,5,421082.566333029
3,1,2,5,433067.412698816
3,1,3,5,436350.276393729
3,1,4,5,436151.60374081
3,1,5,5,422440.670608329
3,1,1,6,421151.872629264
3,1,2,6,433045.30090845
3,1,3,6,436295.092196501
3,1,4,6,436095.700862667
3,1,5,6,422410.226111775
3,1,1,7,420858.046682613
3,1,2,7,433236.467226125
3,1,3,7,436646.653977013
3,1,4,7,436448.802150601
3,1,5,7,422470.241600618
3,1,1,8,419973.105767694
3,1,2,8,434245.274630174
3,1,3,8,438494.490956353
3,1,4,8,438743.102950013
3,1,5,8,422414.087522237
3,1,1,9,417918.10056156
3,1,2,9,440908.545403365
3,1,3,9,448799.30983273
3,1,4,9,452485.623538283
3,1,5,9,422710.427287857
3,1,1,10,372847.668870516
3,1,2,10,401807.518489043
3,1,3,10,408461.380415053
3,1,4,10,407976.440662637
3,1,5,10,376028.456332411
4,1,5,1,395781.059135074
4,1,1,2,405782.585577467
4,1,2,2,419235.559480415
4,1,3,2,425496.611045094
4,1,4,2,425753.61409283
4,1,5,2,409860.747833839
4,1,1,3,416590.900167631
4,1,2,3,433558.595123539
