defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,43121.8699759304
1,1,3,1,48451.7544968227
1,1,4,1,48224.8606819016
1,1,5,1,29955.7920256663
1,1,1,2,23844.7208561753
1,1,2,2,25712.8472600042
1,1,3,2,35525.8502460486
1,1,4,2,35636.3810630717
1,1,5,2,24798.8272045959
1,1,1,3,24172.7423226866
1,1,2,3,25803.4102470644
1,1,3,3,31458.4614613506
1,1,4,3,31495.5938934947
1,1,5,3,24427.5464323039
1,1,1,4,24370.300306523
1,1,2,4,25945.3335848685
1,1,3,4,29573.0231718022
1,1,4,4,29565.1635606894
1,1,5,4,23897.6104713925
1,1,1,5,24364.0153171615
1,1,2,5,26059.0499776813
1,1,3,5,28484.959314235
1,1,4,5,28446.1782094492
1,1,5,5,23298.7260115106
1,1,1,6,24116.0069997276
1,1,2,6,26114.4671314261
1,1,3,6,27693.4328895978
1,1,4,6,27636.3390614201
1,1,5,6,22577.9651361826
1,1,1,7,23538.0975751778
1,1,2,7,26088.2738377134
1,1,3,7,26914.2544105825
1,1,4,7,26859.0294414532
1,1,5,7,21562.2794000171
1,1,1,8,22350.3804697657
1,1,2,8,25943.0985737505
1,1,3,8,25869.5739641298
1,1,4,8,25859.8604277421
1,1,5,8,19878.8974069913
1,1,1,9,20050.2489760269
1,1,2,9,25748.8690137828
1,1,3,9,24417.3749212259
1,1,4,9,24530.5274539457
1,1,5,9,16917.2645358295
1,1,1,10,20480.2744058774
1,1,2,10,26163.9316603231
1,1,3,10,23488.65122726
1,1,4,10,23675.0778569608
1,1,5,10,16688.1522623216
2,1,3,1,69225.0015549681
2,1,4,1,68982.1216709018
2,1,5,1,47998.8951183914
2,1,1,2,22961.2315136662
2,1,2,2,31432.8986614775
2,1,3,2,37180.9288350408
2,1,4,2,37560.6622524629
2,1,5,2,28754.533432308
2,1,1,3,26247.8305499515
2,1,2,3,32325.822847625
2,1,3,3,34939.1097020059
2,1,4,3,35068.9051729001
2,1,5,3,28913.0002911381
2,1,1,4,27617.1155865093
2,1,2,4,32946.8861828281
2,1,3,4,34407.7986697534
2,1,4,4,34418.0445350222
2,1,5,4,29135.1495856192
2,1,1,5,28232.6855654424
2,1,2,5,33299.3341777517
2,1,3,5,34146.3882444806
2,1,4,5,34103.7451866209
2,1,5,5,29119.0109845989
2,1,1,6,28400.4914407343
2,1,2,6,33474.6319958325
2,1,3,6,33865.6114987657
2,1,4,6,33803.0309842972
2,1,5,6,28830.900819731
