defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,1168557.86739417
1,1,3,1,1182630.6894784
1,1,4,1,1182718.84993361
1,1,5,1,1162423.64620385
1,1,1,2,1217244.71398863
1,1,2,2,1206563.57397996
1,1,3,2,1209755.09570081
1,1,4,2,1209484.36228927
1,1,5,2,1202233.97443563
1,1,1,3,1222526.31994311
1,1,2,3,1208030.91380409
1,1,3,3,1214237.79612628
1,1,4,3,1214125.76911994
1,1,5,3,1209039.05918519
1,1,1,4,1213925.15901344
1,1,2,4,1217263.01276446
1,1,3,4,1214313.03567228
1,1,4,4,1214239.1557865
1,1,5,4,1209985.47228831
1,1,1,5,1213851.05001434
1,1,2,5,1217206.28633677
1,1,3,5,1218780.52493586
1,1,4,5,1218713.64955427
1,1,5,5,1214728.319674
1,1,1,6,1213889.10113004
1,1,2,6,1217196.25719616
1,1,3,6,1218772.67097008
1,1,4,6,1218706.25467732
1,1,5,6,1214737.60558043
1,1,1,7,1213955.8533376
1,1,2,7,1217173.4279603
1,1,3,7,1218745.56745969
1,1,4,7,1218679.77892237
1,1,5,7,1214786.68797313
1,1,1,8,1214108.36668879
1,1,2,8,1217397.72099008
1,1,3,8,1219039.81075509
1,1,4,8,1218974.03323538
1,1,5,8,1215107.93606645
1,1,1,9,1214179.37131333
1,1,2,9,1225375.72473381
1,1,3,9,1229681.7159129
1,1,4,9,1229525.13277119
1,1,5,9,1216548.27031833
1,1,1,10,1196042.69409704
1,1,2,10,1225789.62287438
1,1,3,10,1231548.24368177
1,1,4,10,1231099.60456293
1,1,5,10,1199644.22157416
2,1,3,1,1197096.22970784
2,1,4,1,1197397.87854959
2,1,5,1,1181039.55882473
2,1,1,2,1237131.20178175
2,1,2,2,1243741.38580649
2,1,3,2,1239718.609752
2,1,4,2,1239321.23621985
2,1,5,2,1234581.51553282
2,1,1,3,1239756.67859482
2,1,2,3,1239315.00389246
2,1,3,3,1241109.22740151
2,1,4,3,1241003.03748895
2,1,5,3,1240109.66774951
2,1,1,4,1239306.8686156
2,1,2,4,1237782.96834228
2,1,3,4,1239470.93084005
2,1,4,4,1239398.59254099
2,1,5,4,1240060.10506639
2,1,1,5,1239224.28180736
2,1,2,5,1237758.34115902
2,1,3,5,1239417.46952272
2,1,4,5,1239345.34200696
2,1,5,5,1240011.84151619
2,1,1,6,1239226.5296042
2,1,2,6,1237762.78657437
2,1,3,6,1239414.48549591
2,1,4,6,1239342.18973302
2,1,5,6,1240010.85157598
2,1,1,7,1239274.00142175
2,1,2,7,1237739.9942939
2,1,3,7,1239387.39864771
2,1,4,7,1239315.84903696
2,1,5,7,1240071.13828763
2,1,1,8,1239440.06620324
2,1,2,8,1232451.10885105
2,1,3,8,1234231.14517982
2,1,4,8,1234155.36602874
2,1,5,8,1240426.39464204
2,1,1,9,1239522.72066864
2,1,2,9,1240656.68377518
2,1,3,9,1245156.70364912
2,1,4,9,1244989.72263104
2,1,5,9,1241908.93195919
2,1,1,10,1225789.62287417
2,1,2,10,1238724.02645463
2,1,3,10,1244695.21587196
2,1,4,10,1244231.1161029
2,1,5,10,1224341.05729612
3,1,4,1,1193565.08736915
3,1,5,1,1179906.87239256
3,1,1,2,1239022.21757635
3,1,2,2,1243653.14225241
3,1,3,2,1249746.01610912
3,1,4,2,1249269.45936928
3,1,5,2,1242769.67947477
3,1,1,3,1245022.14213059
3,1,2,3,1245316.78231922
3,1,3,3,1247584.04878552
3,1,4,3,1247499.360327
3,1,5,3,1246529.20052699
3,1,1,4,1245071.09304695
3,1,2,4,1243701.78790634
3,1,3,4,1245365.52848704
3,1,4,4,1245293.83444187
3,1,5,4,1245935.83230784
3,1,1,5,1245042.24061337
3,1,2,5,1243652.23199629
3,1,3,5,1245299.03325417
3,1,4,5,1245226.59665283
3,1,5,5,1245823.51743748
3,1,1,6,1245046.69924043
3,1,2,6,1243651.09233321
3,1,3,6,1245297.61682415
3,1,4,6,1245225.10699531
3,1,5,6,1245819.67980211
3,1,1,7,1245091.70333386
3,1,2,7,1243625.9589415
3,1,3,7,1245271.32260081
3,1,4,7,1245199.67560279
3,1,5,7,1245882.29412389
3,1,1,8,1245256.1999476
