Current,X,Y,Power
700,3,9,3435.51052516114
700,3,10,49.7282705705787
700,4,1,190.422904500357
700,4,2,3458.80703213484
700,4,3,4533.52560179479
700,4,4,4629.72167395189
700,4,5,4637.66798344993
700,4,6,4637.6679834526
700,4,7,4629.72167396092
700,4,8,4533.52560180252
700,4,9,3458.80703214588
700,4,10,190.422904500734
700,5,1,11948.2197956836
700,5,2,4972.4399767946
700,5,3,4624.28921966731
700,5,4,4630.62764360586
700,5,5,4636.5006635432
700,5,6,4636.50066354497
700,5,7,4630.62764361313
700,5,8,4624.2892196797
700,5,9,4972.43997680939
700,5,10,11948.2197957082
800,1,1,23328.4849389404
800,1,2,21431.6410853792
800,1,3,21397.1354232063
800,1,4,21385.478102721
800,1,5,21382.833302857
800,1,6,21382.8333028752
800,1,7,21385.4781027399
800,1,8,21397.1354232425
800,1,9,21431.6410854072
800,1,10,23328.4849389959
800,2,1,8348.64340373673
800,2,2,20753.9471336401
800,2,3,21378.4557602453
800,2,4,21383.2612061407
800,2,5,21382.3844868963
800,2,6,21382.3844869134
800,2,7,21383.2612061552
800,2,8,21378.4557602806
800,2,9,20753.9471336767
800,2,10,8348.64340377044
800,3,1,5981.6655650604
800,3,2,20583.0391864328
800,3,3,21369.0576844961
800,3,4,21381.9476902103
800,3,5,21382.1496936647
800,3,6,21382.1496936757
800,3,7,21381.9476902244
800,3,8,21369.0576845324
800,3,9,20583.0391864639
800,3,10,5981.66556508745
800,4,1,6195.04702446707
800,4,2,20587.4907500972
800,4,3,21368.4074223374
800,4,4,21381.8405193615
800,4,5,21382.1324073586
800,4,6,21382.1324073683
800,4,7,21381.8405193766
800,4,8,21368.4074223732
800,4,9,20587.4907501282
800,4,10,6195.04702449469
800,5,1,21739.7946515567
800,5,2,21128.1155955303
800,5,3,21354.1254546076
800,5,4,21379.0384380691
800,5,5,21381.7245720823
800,5,6,21381.7245720843
800,5,7,21379.0384380839
800,5,8,21354.1254546415
800,5,9,21128.1155955688
800,5,10,21739.7946516137
900,1,1,45317.0201239779
900,1,2,46733.5170162454
900,1,3,46643.1483380127
900,1,4,46624.541301293
900,1,5,46622.2231723685
900,1,6,46622.2231724071
900,1,7,46624.5413013388
900,1,8,46643.1483381004
900,1,9,46733.5170163888
900,1,10,45317.0201240476
900,2,1,28805.5820724719
900,2,2,46417.2831158507
900,2,3,46626.2308261138
900,2,4,46622.1193541947
900,2,5,46621.8675672789
900,2,6,46621.8675673189
900,2,7,46622.1193542603
900,2,8,46626.2308261959
900,2,9,46417.283115948
900,2,10,28805.5820725337
900,3,1,26108.8561688843
900,3,2,46324.7439032561
900,3,3,46618.0650874527
900,3,4,46620.9455345943
900,3,5,46621.6819706238
900,3,6,46621.6819706591
900,3,7,46620.9455346602
900,3,8,46618.0650875344
900,3,9,46324.7439033491
900,3,10,26108.856168945
900,4,1,26346.8719069472
900,4,2,46324.2606909755
900,4,3,46617.5172020239
900,4,4,46620.8644355583
900,4,5,46621.6678613472
900,4,6,46621.6678613859
900,4,7,46620.8644356236
900,4,8,46617.5172021049
900,4,9,46324.2606910693
900,4,10,26346.8719070065
900,5,1,43522.21433779
900,5,2,46475.4452031833
900,5,3,46605.9460919768
900,5,4,46619.0888226509
900,5,5,46621.323569357
900,5,6,46621.3235693845
900,5,7,46619.0888227178
900,5,8,46605.9460920624
900,5,9,46475.4452032716
900,5,10,43522.2143378819
